2022/12/03/03:23:30:854 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:23:30:865 [DEBUG] Unity: ;LOGLINE;VERSION;StartMenu
2022/12/03/03:23:30:866 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:23:30:910 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/03:23:30:911 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:23:30:912 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:23:30:913 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:23:30:914 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:23:30:916 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:23:30:917 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:23:30:918 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:23:30:920 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;0.000; s
2022/12/03/03:23:30:921 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:23:30:922 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/03:23:30:923 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:23:30:924 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:23:30:925 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:23:30:926 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:23:30:927 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:23:30:928 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:23:30:929 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:23:30:930 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;0.000; s
2022/12/03/03:23:30:931 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:23:30:932 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/03:23:30:935 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:23:30:936 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:23:30:937 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:23:30:938 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:23:30:939 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:23:30:940 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:23:30:942 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:23:30:942 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;0.000; s
2022/12/03/03:23:30:943 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:23:30:944 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/03:23:30:946 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:23:30:946 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:23:30:948 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:23:30:949 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:23:30:950 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:23:30:952 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:23:30:952 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:23:30:954 [DEBUG] Unity: ;LOGLINE;Time in Handshake 4;0.000; s
2022/12/03/03:23:30:955 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:23:56:359 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:23:56:360 [DEBUG] Unity: ;LOGLINE;VERSION;Handshake1
2022/12/03/03:23:56:361 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:25:17:342 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,373;s
2022/12/03/03:25:46:667 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;2,200;s
2022/12/03/03:26:26:247 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,309;s
2022/12/03/03:28:40:848 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:28:40:849 [DEBUG] Unity: ;LOGLINE;VERSION;StartMenu
2022/12/03/03:28:40:851 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:28:40:858 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/03:28:40:859 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 7
2022/12/03/03:28:40:860 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/03:28:40:862 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:28:40:863 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 4
2022/12/03/03:28:40:864 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 3
2022/12/03/03:28:40:866 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:28:40:867 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:28:40:868 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;283,793; s
2022/12/03/03:28:40:869 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:28:40:870 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/03:28:40:872 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:28:40:873 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:28:40:874 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:28:40:876 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:28:40:876 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:28:40:878 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:28:40:879 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:28:40:881 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;63805674519,913; s
2022/12/03/03:28:40:882 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:28:40:883 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/03:28:40:884 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:28:40:885 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:28:40:886 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:28:40:887 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:28:40:888 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:28:40:889 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:28:40:891 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:28:40:892 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;63805674519,913; s
2022/12/03/03:28:40:893 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:28:40:894 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/03:28:40:896 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:28:40:896 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:28:40:898 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:28:40:899 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:28:40:900 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:28:40:901 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:28:40:903 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:28:40:904 [DEBUG] Unity: ;LOGLINE;Time in Handshake 4;63805674519,913; s
2022/12/03/03:28:40:905 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:49:31:644 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:49:31:645 [DEBUG] Unity: ;LOGLINE;VERSION;Handshake4
2022/12/03/03:49:31:646 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:50:59:355 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,945;s
2022/12/03/03:51:05:862 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,793;s
2022/12/03/03:51:10:429 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;2,450;s
2022/12/03/03:51:35:085 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,293;s
2022/12/03/03:51:41:948 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,628;s
2022/12/03/03:52:26:359 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,030;s
2022/12/03/03:52:35:353 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,100;s
2022/12/03/03:52:53:479 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;12,432;s
2022/12/03/03:53:06:747 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,031;s
2022/12/03/03:53:11:637 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:53:11:638 [DEBUG] Unity: ;LOGLINE;VERSION;StartMenu
2022/12/03/03:53:11:640 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:53:11:647 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/03:53:11:649 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 7
2022/12/03/03:53:11:650 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/03:53:11:651 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:53:11:652 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 4
2022/12/03/03:53:11:654 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 3
2022/12/03/03:53:11:655 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:53:11:656 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:53:11:657 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;1754,818; s
2022/12/03/03:53:11:658 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:53:11:660 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/03:53:11:662 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:53:11:664 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:53:11:665 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:53:11:666 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:53:11:667 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:53:11:669 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:53:11:670 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:53:11:671 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;63805675990,937; s
2022/12/03/03:53:11:673 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:53:11:674 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/03:53:11:675 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/03:53:11:676 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:53:11:678 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:53:11:679 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/03:53:11:681 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/03:53:11:682 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/03:53:11:683 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/03:53:11:685 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;63805675990,937; s
2022/12/03/03:53:11:687 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:53:11:688 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/03:53:11:690 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 18
2022/12/03/03:53:11:691 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/03:53:11:692 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/03:53:11:694 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
2022/12/03/03:53:11:695 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 9
2022/12/03/03:53:11:696 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
